City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Clouldiness,Wind Speed
0,Lebu,CL,2022-11-15 08:07:11,-37.6167,-73.65,52.54,90,3,2.98
1,Qaanaaq,GL,2022-11-15 08:07:11,77.484,-69.3632,0.82,82,100,2.89
2,Jamestown,US,2022-11-15 08:06:57,42.097,-79.2353,35.19,80,100,8.05
3,Ushuaia,AR,2022-11-15 08:06:26,-54.8,-68.3,49.66,81,75,5.75
4,Pisco,PE,2022-11-15 08:07:11,-13.7,-76.2167,62.65,82,75,2.3
5,Carnarvon,AU,2022-11-15 08:07:12,-24.8667,113.6333,79.0,51,1,17.98
6,Busselton,AU,2022-11-15 08:04:08,-33.65,115.3333,70.27,48,0,13.4
7,Mataura,NZ,2022-11-15 08:07:12,-46.1927,168.8643,58.48,63,100,1.12
8,Boende,CD,2022-11-15 08:07:12,-0.2167,20.8667,77.85,91,100,0.69
9,Punta Arenas,CL,2022-11-15 08:02:36,-53.15,-70.9167,48.11,66,64,19.42
10,Airai,TL,2022-11-15 08:07:13,-8.9266,125.4092,70.07,74,99,1.83
11,Butaritari,KI,2022-11-15 08:07:13,3.0707,172.7902,80.85,81,26,8.21
12,Portobelo,PA,2022-11-15 08:07:13,9.55,-79.65,74.05,87,99,2.93
13,Barrow,US,2022-11-15 08:07:13,71.2906,-156.7887,-0.38,78,0,19.57
14,Cape Town,ZA,2022-11-15 08:03:39,-33.9258,18.4232,70.38,62,75,17.27
15,Lipari,IT,2022-11-15 08:07:14,38.4674,14.954,63.32,62,100,1.36
16,Constitucion,CL,2022-11-15 08:07:14,-35.3333,-72.4167,56.75,82,58,7.58
17,Goundi,TD,2022-11-15 08:07:14,9.3627,17.366,87.67,28,6,2.59
18,Adrar,MR,2022-11-15 07:57:41,20.5022,-10.0711,71.67,25,46,8.99
19,Waingapu,ID,2022-11-15 08:07:15,-9.6567,120.2641,84.67,73,100,5.57
20,Hamilton,US,2022-11-15 08:07:15,39.1834,-84.5333,36.23,73,0,5.01
21,Mahebourg,MU,2022-11-15 08:07:15,-20.4081,57.7,77.25,50,28,13.35
22,Maracacume,BR,2022-11-15 08:07:16,-2.0428,-45.9592,72.91,95,82,2.89
23,Rikitea,PF,2022-11-15 08:04:15,-23.1203,-134.9692,74.48,80,84,15.01
24,Albany,US,2022-11-15 08:06:27,42.6001,-73.9662,26.4,80,94,3.24
25,Sao Filipe,CV,2022-11-15 08:07:16,14.8961,-24.4956,74.53,73,100,10.13
26,Geraldton,AU,2022-11-15 08:07:16,-28.7667,114.6,81.01,34,0,21.85
27,New Norfolk,AU,2022-11-15 08:07:17,-42.7826,147.0587,46.92,84,100,4.0
28,Castro,BR,2022-11-15 08:07:17,-24.7911,-50.0119,56.62,96,5,3.02
29,Sarangani,PH,2022-11-15 08:07:17,5.4033,125.4636,84.2,74,100,6.78
30,Avarua,CK,2022-11-15 08:07:18,-21.2078,-159.775,71.65,73,100,8.05
31,Yellowknife,CA,2022-11-15 08:03:52,62.456,-114.3525,25.32,100,100,8.05
32,Awjilah,LY,2022-11-15 08:07:18,29.1081,21.2869,66.31,40,0,3.42
33,Hobart,AU,2022-11-15 08:07:18,-42.8794,147.3294,47.26,88,75,21.85
34,Dunedin,NZ,2022-11-15 08:03:27,-45.8742,170.5036,57.79,91,100,4.0
35,Mogadishu,SO,2022-11-15 08:07:19,2.0371,45.3438,82.2,71,37,10.58
36,Bredasdorp,ZA,2022-11-15 08:07:19,-34.5322,20.0403,74.91,36,67,14.43
37,Choix,MX,2022-11-15 08:07:19,26.7092,-108.3219,62.87,68,97,3.96
38,Kyren,RU,2022-11-15 08:07:20,51.6828,102.1408,33.44,80,51,1.3
39,Arraial Do Cabo,BR,2022-11-15 08:07:20,-22.9661,-42.0278,75.06,88,0,11.5
40,Upernavik,GL,2022-11-15 08:07:20,72.7868,-56.1549,20.98,93,100,6.87
41,Olafsvik,IS,2022-11-15 08:07:20,64.8945,-23.7142,43.43,82,100,13.78
42,Vila Velha,BR,2022-11-15 08:06:22,-20.3297,-40.2925,76.95,93,100,10.36
43,Hasaki,JP,2022-11-15 08:07:21,35.7333,140.8333,53.22,78,100,19.69
44,Vaini,TO,2022-11-15 08:07:21,-21.2,-175.2,73.56,100,75,6.91
45,Saint-Philippe,RE,2022-11-15 08:07:22,-21.3585,55.7679,80.19,58,30,12.71
46,Guerrero Negro,MX,2022-11-15 08:07:22,27.9769,-114.0611,60.84,48,99,2.84
47,Demerval Lobao,BR,2022-11-15 08:08:23,-5.3583,-42.6764,74.61,98,65,1.72
48,Guanica,PR,2022-11-15 08:08:24,17.9716,-66.908,77.18,79,3,5.55
49,Cherskiy,RU,2022-11-15 08:08:24,68.75,161.3,-33.45,100,27,4.09
50,Atuona,PF,2022-11-15 08:06:35,-9.8,-139.0333,77.5,74,2,17.05
51,Aksu,CN,2022-11-15 08:08:24,41.1231,80.2644,45.23,33,100,0.2
52,Mar Del Plata,AR,2022-11-15 08:08:26,-38.0023,-57.5575,58.08,95,78,11.99
53,Smithers,CA,2022-11-15 08:08:26,54.7804,-127.1743,25.27,93,100,1.95
54,Makakilo City,US,2022-11-15 08:08:26,21.3469,-158.0858,75.56,74,40,13.8
55,Busdi,PH,2022-11-15 08:08:26,8.2761,125.2514,80.67,67,100,4.25
56,Tual,ID,2022-11-15 08:07:19,-5.6667,132.75,84.65,69,100,1.12
57,Synya,RU,2022-11-15 08:08:27,65.3718,58.0387,-4.25,94,46,2.8
58,Ancud,CL,2022-11-15 08:08:27,-41.8697,-73.8203,54.23,98,100,10.87
59,Port Alfred,ZA,2022-11-15 08:08:28,-33.5906,26.891,84.7,43,14,11.56
60,Turbat,PK,2022-11-15 08:08:28,26.0023,63.044,87.21,20,0,8.77
61,Georgetown,MY,2022-11-15 08:06:18,5.4112,100.3354,85.93,77,20,4.61
62,Longyearbyen,SJ,2022-11-15 08:08:29,78.2186,15.6401,22.84,80,20,11.5
63,Pevek,RU,2022-11-15 08:08:30,69.7008,170.3133,-13.47,100,98,0.51
64,Henties Bay,NA,2022-11-15 08:08:30,-22.116,14.2845,63.95,75,79,8.9
65,Dali,CN,2022-11-15 08:08:30,25.7,100.1833,66.13,29,0,8.05
66,Canon City,US,2022-11-15 08:06:50,38.441,-105.2424,30.38,81,100,0.0
67,Opuwo,NA,2022-11-15 08:08:30,-18.0607,13.84,82.22,11,8,3.53
68,Bluff,NZ,2022-11-15 08:08:31,-46.6,168.3333,58.8,64,100,4.0
69,Calderitas,MX,2022-11-15 08:08:31,18.55,-88.25,76.14,84,6,4.54
70,Mae Hong Son,TH,2022-11-15 08:08:31,19.3003,97.9685,90.41,51,61,0.47
71,Ilulissat,GL,2022-11-15 08:08:31,69.2167,-51.1,26.62,86,100,17.27
72,Ponta Do Sol,PT,2022-11-15 08:08:32,32.6667,-17.1,67.71,70,78,5.68
73,Januaria,BR,2022-11-15 08:08:32,-15.4833,-44.3667,69.87,98,100,2.68
74,Hilo,US,2022-11-15 08:08:32,19.7297,-155.09,70.25,87,0,5.01
75,Orel-Izumrud,RU,2022-11-15 08:08:32,43.4583,39.9244,55.42,62,20,8.99
76,Waddan,LY,2022-11-15 08:08:33,29.1614,16.139,67.95,35,1,2.62
77,Birjand,IR,2022-11-15 08:08:33,32.8663,59.2211,60.53,31,2,8.21
78,Vestmannaeyjar,IS,2022-11-15 08:08:33,63.4427,-20.2734,45.59,87,100,10.36
79,Kavieng,PG,2022-11-15 07:58:59,-2.5744,150.7967,83.12,75,100,12.39
80,Bengkulu,ID,2022-11-15 08:08:33,-3.8004,102.2655,83.34,68,98,11.81
81,Luderitz,NA,2022-11-15 08:08:34,-26.6481,15.1594,67.84,65,3,12.19
82,Creel,MX,2022-11-15 08:08:34,27.75,-107.6333,37.63,87,100,1.14
83,Zyryanka,RU,2022-11-15 08:08:34,65.75,150.85,-21.23,90,100,1.05
84,Nemuro,JP,2022-11-15 08:08:34,43.3236,145.575,44.8,67,98,8.88
85,Mamallapuram,IN,2022-11-15 08:08:35,12.6264,80.1722,84.25,67,54,15.26
86,Ranong,TH,2022-11-15 08:08:35,9.9658,98.6348,84.09,71,100,10.02
87,Prince Rupert,CA,2022-11-15 08:05:11,54.3161,-130.3201,40.21,71,100,4.36
88,Aswan,EG,2022-11-15 08:08:35,24.0934,32.907,77.04,34,0,12.1
89,Luquillo,PR,2022-11-15 08:08:36,18.3725,-65.7166,75.9,94,100,3.44
90,Ngunguru,NZ,2022-11-15 08:08:36,-35.6167,174.5,63.0,94,100,7.2
91,Kokopo,PG,2022-11-15 08:08:36,-4.352,152.2633,80.8,71,100,1.81
92,Lagoa,PT,2022-11-15 08:08:36,39.05,-27.9833,61.97,75,77,12.19
93,Jumla,NP,2022-11-15 08:09:37,29.2747,82.1838,55.56,53,75,5.75
94,Bethel,US,2022-11-15 08:09:37,41.3712,-73.414,31.66,79,0,0.0
95,Kolyvan,RU,2022-11-15 08:09:37,55.3053,82.7391,38.82,98,100,13.76
96,Abu Samrah,SY,2022-11-15 08:09:37,35.3029,37.1841,66.07,52,40,6.02
97,Cairns,AU,2022-11-15 08:09:38,-16.9167,145.7667,87.06,75,40,4.61
98,Raymond,US,2022-11-15 08:09:38,43.9015,-70.4703,31.15,80,10,2.3
99,Halifax,CA,2022-11-15 08:09:38,44.6453,-63.5724,36.5,76,11,5.99
100,Mareeba,AU,2022-11-15 08:09:38,-17.0,145.4333,82.44,65,99,5.44
101,Bathsheba,BB,2022-11-15 08:09:39,13.2167,-59.5167,79.41,83,20,19.57
102,Mayskiy,RU,2022-11-15 08:09:39,47.6931,40.1025,35.01,44,3,3.96
103,La Mana,EC,2022-11-15 08:09:39,-0.9333,-79.2167,70.23,87,80,1.1
104,Saint George,US,2022-11-15 08:06:17,37.1041,-113.5841,39.79,60,0,1.01
105,East London,ZA,2022-11-15 08:09:39,-33.0153,27.9116,81.91,48,58,15.57
106,Loreto,MX,2022-11-15 08:09:40,22.2667,-101.9667,52.29,54,27,3.2
107,Chokurdakh,RU,2022-11-15 08:09:40,70.6333,147.9167,-20.87,100,98,8.57
108,Morro Bay,US,2022-11-15 08:09:40,35.3658,-120.8499,47.14,26,0,3.56
109,Coihaique,CL,2022-11-15 08:09:40,-45.5752,-72.0662,48.81,81,83,4.61
110,Taicheng,CN,2022-11-15 08:09:41,38.731,113.228,45.43,30,0,3.18
111,Poum,NC,2022-11-15 08:09:41,-20.2333,164.0167,77.04,79,28,14.12
112,Tuktoyaktuk,CA,2022-11-15 08:09:41,69.4541,-133.0374,5.14,93,84,9.4
113,Cabo San Lucas,MX,2022-11-15 08:09:41,22.8909,-109.9124,74.52,75,42,1.01
114,Xining,CN,2022-11-15 08:09:42,36.6167,101.7667,40.3,42,85,1.36
115,Lubao,PH,2022-11-15 08:09:42,14.9167,120.55,85.48,69,83,11.72
116,Khatanga,RU,2022-11-15 08:09:42,71.9667,102.5,-4.86,97,100,14.81
117,Bati,ET,2022-11-15 08:09:42,11.1833,40.0167,72.23,36,0,9.86
118,Hambantota,LK,2022-11-15 08:09:43,6.1241,81.1185,86.34,70,40,2.3
119,Hermanus,ZA,2022-11-15 08:09:43,-34.4187,19.2345,71.8,57,41,17.9
120,Fereydun Kenar,IR,2022-11-15 08:09:43,36.6864,52.5225,61.56,60,0,12.03
121,Oistins,BB,2022-11-15 08:06:12,13.0667,-59.5333,78.89,83,20,19.57
122,Sao Paulo De Olivenca,BR,2022-11-15 08:09:43,-3.3783,-68.8725,73.36,98,100,0.25
123,Lata,PT,2022-11-15 08:09:44,40.1629,-8.3327,61.92,93,100,12.37
124,Puerto Ayora,EC,2022-11-15 08:09:44,-0.7393,-90.3518,69.55,86,21,6.11
125,Fairbanks,US,2022-11-15 08:08:17,64.8378,-147.7164,25.14,88,100,5.75
126,Rincon,US,2022-11-15 08:09:44,32.296,-81.2354,56.86,82,75,5.75
127,Alice,US,2022-11-15 08:09:40,27.7523,-98.0697,53.51,90,75,11.5
128,Saskylakh,RU,2022-11-15 08:09:45,71.9167,114.0833,-8.64,93,100,8.75
129,Poya,NC,2022-11-15 08:09:45,-21.35,165.15,75.47,74,9,5.7
130,Vao,NC,2022-11-15 08:09:45,-22.6667,167.4833,74.1,80,76,16.22
131,Wilmington,US,2022-11-15 08:04:52,34.2257,-77.9447,49.95,78,100,10.36
132,Wanning,CN,2022-11-15 08:09:45,18.8003,110.3967,80.67,78,11,9.46
133,Strezhevoy,RU,2022-11-15 08:09:46,60.7333,77.5889,13.77,92,100,13.18
134,Bemidji,US,2022-11-15 08:09:46,47.4736,-94.8803,25.92,97,0,0.0
135,Ahipara,NZ,2022-11-15 08:09:46,-35.1667,173.1667,62.85,91,100,6.6
136,Zhigansk,RU,2022-11-15 08:09:46,66.7697,123.3711,-29.33,99,64,4.27
137,Meadow Lake,US,2022-11-15 08:08:42,34.8014,-106.5436,37.11,52,0,1.63
138,Soavinandriana,MG,2022-11-15 08:09:47,-19.1667,46.7333,77.02,43,1,2.37
139,Cidreira,BR,2022-11-15 08:10:47,-30.1811,-50.2056,62.6,73,1,11.54
140,Kapaa,US,2022-11-15 08:10:47,22.0752,-159.319,75.52,80,20,18.41
141,San Rafael,AR,2022-11-15 08:10:47,-34.6177,-68.3301,63.03,45,23,3.89
142,Provideniya,RU,2022-11-15 08:10:48,64.3833,-173.3,29.23,83,100,12.41
143,Tambilil,PH,2022-11-15 08:10:48,5.9622,124.6697,83.34,84,100,3.2
144,Faanui,PF,2022-11-15 08:10:48,-16.4833,-151.75,78.8,80,96,6.24
145,Lorengau,PG,2022-11-15 08:10:49,-2.0226,147.2712,82.02,77,74,2.89
146,Vuktyl,RU,2022-11-15 08:10:49,63.8567,57.3094,-0.76,95,96,3.67
147,Aksarka,RU,2022-11-15 08:10:49,66.5606,67.7975,-6.45,93,24,3.89
148,Kushima,JP,2022-11-15 08:10:49,31.4583,131.2333,61.41,60,86,9.46
149,Port Blair,IN,2022-11-15 08:10:50,11.6667,92.75,81.25,78,100,7.2
150,Gazli,UZ,2022-11-15 08:10:50,40.1333,63.45,50.95,37,100,15.77
151,Caravelas,BR,2022-11-15 08:10:50,-17.7125,-39.2481,74.97,92,100,7.63
152,Kahului,US,2022-11-15 08:10:50,20.8947,-156.47,75.85,80,40,6.91
153,Nikolskoye,RU,2022-11-15 08:10:51,59.7035,30.7861,31.91,98,100,6.08
154,Rampura,IN,2022-11-15 08:10:51,30.25,75.2333,81.73,28,2,6.26
155,Waipawa,NZ,2022-11-15 08:09:04,-41.4122,175.5153,57.79,80,0,4.43
156,Esperance,AU,2022-11-15 08:10:51,-33.8667,121.9,64.76,57,2,14.32
157,Shelburne,CA,2022-11-15 08:10:51,44.0787,-80.2041,26.6,81,92,4.79
158,Manica,FR,2022-11-15 08:10:52,49.0,-1.1667,51.66,92,100,19.71
159,Wamba,NG,2022-11-15 08:10:52,8.9333,8.6,80.62,29,55,2.51
160,Portland,US,2022-11-15 08:08:10,45.5234,-122.6762,44.58,60,0,17.27
161,Bubaque,GW,2022-11-15 08:10:52,11.2833,-15.8333,82.98,67,100,8.77
162,Cloquet,US,2022-11-15 08:10:53,46.7216,-92.4594,29.61,97,100,3.44
163,Souillac,MU,2022-11-15 08:10:53,-20.5167,57.5167,75.74,53,10,15.17
164,Peace River,CA,2022-11-15 08:09:06,56.2501,-117.286,23.74,93,77,7.02
165,Atar,MR,2022-11-15 08:10:53,20.5169,-13.0499,76.53,30,11,7.67
166,Hofn,IS,2022-11-15 08:10:53,64.2539,-15.2082,45.54,95,100,17.2
167,Cravo Norte,CO,2022-11-15 08:10:54,6.3017,-70.2041,74.39,93,14,6.17
168,Isangel,VU,2022-11-15 08:10:54,-19.55,169.2667,76.3,68,0,6.06
169,Antofagasta,CL,2022-11-15 08:06:03,-23.65,-70.4,61.88,87,52,3.98
170,Buenos Aires,AR,2022-11-15 08:10:54,-34.6132,-58.3772,62.33,70,0,4.61
171,Laguna,US,2022-11-15 08:10:55,38.421,-121.4238,50.09,84,0,5.75
172,Namibe,AO,2022-11-15 08:10:55,-15.1961,12.1522,70.74,65,90,7.14
173,Yerbogachen,RU,2022-11-15 08:10:55,61.2767,108.0108,-11.13,93,74,7.14
174,Shimoda,JP,2022-11-15 08:10:55,34.6667,138.95,55.11,79,78,5.73
175,Dikson,RU,2022-11-15 08:10:56,73.5069,80.5464,5.13,95,100,10.8
176,Tiksi,RU,2022-11-15 08:10:56,71.6872,128.8694,-11.72,90,100,11.41
177,Tuatapere,NZ,2022-11-15 08:10:34,-46.1333,167.6833,59.79,57,100,5.14
178,Parrita,CR,2022-11-15 08:10:56,9.5201,-84.3225,74.46,84,29,3.87
179,Hithadhoo,MV,2022-11-15 08:10:56,-0.6,73.0833,81.59,77,96,13.87
180,Jijiga,ET,2022-11-15 08:10:57,9.35,42.8,72.77,15,0,11.16
181,Biggar,GB,2022-11-15 08:10:57,55.6167,-3.5167,49.3,89,100,12.19
182,Ozernovskiy,RU,2022-11-15 08:10:57,51.5,156.5167,35.51,84,100,32.64
183,Chara,RU,2022-11-15 08:10:58,56.9064,118.2631,0.45,97,91,0.72
184,Norman Wells,CA,2022-11-15 08:10:58,65.282,-126.8329,18.34,87,100,18.95
185,Kaitangata,NZ,2022-11-15 08:10:58,-46.2817,169.8464,55.71,90,100,3.06
186,Horasan,TR,2022-11-15 08:10:58,40.0458,42.1728,42.49,59,16,2.13
187,Nanortalik,GL,2022-11-15 08:10:59,60.1432,-45.2371,31.8,95,99,4.12
188,Tayoltita,MX,2022-11-15 08:11:59,24.0833,-105.9333,55.54,42,16,6.46
189,Kshenskiy,RU,2022-11-15 08:11:59,51.8408,37.7136,32.45,54,100,4.59
190,Kapuskasing,CA,2022-11-15 08:07:02,49.4169,-82.4331,15.21,97,100,2.15
