City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Clouldiness,Wind Speed,Current Description
0,Shagonar,RU,51.5333,92.8,19.65,86,92,1.14,overcast clouds
1,Boyabat,TR,41.4689,34.7667,42.76,70,14,1.45,few clouds
2,Tabou,CI,4.423,-7.3528,76.69,84,13,1.79,few clouds
3,Souillac,MU,-20.5167,57.5167,73.4,55,0,3.85,clear sky
4,Kaitangata,NZ,-46.2817,169.8464,57.49,81,95,6.62,overcast clouds
5,Ust-Nera,RU,64.5667,143.2,-8.41,97,100,2.53,overcast clouds
6,Prince Rupert,CA,54.3161,-130.3201,40.71,75,1,7.96,clear sky
7,Bereznik,RU,62.8551,42.7072,18.66,96,57,4.54,broken clouds
8,Rikitea,PF,-23.1203,-134.9692,73.76,91,100,22.32,heavy intensity rain
9,Constitucion,CL,-35.3333,-72.4167,56.66,83,21,12.26,few clouds
10,Iqaluit,CA,63.7506,-68.5145,-3.12,100,86,11.63,overcast clouds
11,College,US,64.8569,-147.8028,4.06,85,20,0.0,few clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,69.55,91,92,5.99,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,53.26,40,20,4.61,few clouds
14,Tooele,US,40.5308,-112.2983,28.17,68,5,1.45,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,48.31,71,0,6.91,clear sky
16,Thompson,CA,55.7435,-97.8558,12.88,93,100,9.8,light snow
17,Guerrero Negro,MX,27.9769,-114.0611,65.07,40,0,4.41,clear sky
18,Te Anau,NZ,-45.4167,167.7167,57.85,92,100,3.11,overcast clouds
19,Bredasdorp,ZA,-34.5322,20.0403,55.26,72,100,3.22,overcast clouds
20,Khatanga,RU,71.9667,102.5,-33.41,100,94,5.35,overcast clouds
21,Pakenham,AU,-38.0667,145.4833,62.6,65,80,5.99,broken clouds
22,Aksaray,TR,38.3726,34.0254,42.78,72,23,3.15,few clouds
23,Mogadishu,SO,2.0371,45.3438,79.32,81,53,9.75,broken clouds
24,Albany,US,42.6001,-73.9662,37.38,90,56,5.59,broken clouds
25,Hobart,AU,-42.8794,147.3294,61.27,68,20,19.57,few clouds
26,Mataura,NZ,-46.1927,168.8643,58.48,79,99,3.91,light rain
27,Mar Del Plata,AR,-38.0023,-57.5575,65.95,78,99,4.0,overcast clouds
28,Sitka,US,57.0531,-135.33,44.49,81,0,3.44,clear sky
29,Busselton,AU,-33.65,115.3333,63.07,53,85,21.7,overcast clouds
30,Lebu,CL,-37.6167,-73.65,55.81,94,71,8.12,broken clouds
31,Grindavik,IS,63.8424,-22.4338,46.87,87,75,18.41,broken clouds
32,Hermanus,ZA,-34.4187,19.2345,57.52,72,99,5.06,overcast clouds
33,Broome,US,42.2506,-75.833,36.14,83,100,10.36,overcast clouds
34,Bethel,US,41.3712,-73.414,41.31,72,0,6.91,clear sky
35,Vestmannaeyjar,IS,63.4427,-20.2734,47.91,82,89,39.46,overcast clouds
36,Calama,CL,-22.4667,-68.9333,52.29,30,0,14.97,clear sky
37,San Patricio,US,28.017,-97.5169,52.84,60,100,6.64,overcast clouds
38,Vaini,TO,-21.2,-175.2,78.03,66,1,3.53,clear sky
39,Pontianak,ID,-0.0333,109.3333,84.18,79,75,6.91,broken clouds
40,San Mateo Del Mar,MX,16.2,-95.0,78.22,74,32,32.79,scattered clouds
41,Kavaratti,IN,10.5669,72.642,82.04,71,84,4.23,broken clouds
42,Tuktoyaktuk,CA,69.4541,-133.0374,15.78,73,85,10.98,overcast clouds
43,Churapcha,RU,62.0025,132.4325,-21.15,91,30,7.4,scattered clouds
44,Tiznit,MA,29.5833,-9.5,60.55,32,19,2.21,few clouds
45,Butaritari,KI,3.0707,172.7902,81.46,73,61,15.17,broken clouds
46,Atambua,ID,-9.1061,124.8925,86.31,55,100,4.25,overcast clouds
47,Porto Novo,BJ,6.4965,2.6036,76.62,85,91,4.36,light rain
48,Port Alfred,ZA,-33.5906,26.891,63.18,93,96,1.99,overcast clouds
49,Zhangye,CN,38.9342,100.4517,42.01,20,0,12.75,clear sky
50,Bolu,TR,40.6667,31.5833,41.47,67,60,4.79,broken clouds
51,Torbay,CA,47.6666,-52.7314,33.58,84,100,6.17,overcast clouds
52,Toamasina,MG,-18.1667,49.3833,75.36,80,79,5.91,broken clouds
53,Krasnoselkup,RU,65.7,82.4667,-22.36,100,50,4.03,scattered clouds
54,Avarua,CK,-21.2078,-159.775,77.05,69,71,14.97,broken clouds
55,Marsa Matruh,EG,31.3525,27.2453,63.91,70,1,9.93,clear sky
56,Port Elizabeth,ZA,-33.918,25.5701,64.31,82,84,15.01,broken clouds
57,Noumea,NC,-22.2763,166.4572,84.18,81,100,5.44,overcast clouds
58,San Quintin,MX,30.4833,-115.95,60.93,50,0,3.76,clear sky
59,Santa Elena,EC,-2.2333,-80.85,69.26,85,95,9.55,overcast clouds
60,Nome,US,64.5011,-165.4064,32.07,74,0,23.02,clear sky
61,Atuona,PF,-9.8,-139.0333,78.46,76,9,16.64,clear sky
62,Vardo,NO,70.3705,31.1107,39.18,45,49,13.8,scattered clouds
63,Villa Del Rosario,CO,7.8339,-72.4742,71.98,100,75,4.61,broken clouds
64,Snasa,NO,64.2457,12.3778,35.01,57,0,6.8,clear sky
65,Cape Town,ZA,-33.9258,18.4232,60.91,70,90,8.99,overcast clouds
66,Saint-Augustin,CA,51.226,-58.6502,24.3,86,100,3.09,overcast clouds
67,Bogovarovo,RU,58.9785,47.0246,15.44,87,95,5.97,overcast clouds
68,Alghero,IT,40.5589,8.3181,53.69,100,20,1.14,few clouds
69,Husavik,IS,66.0449,-17.3389,44.71,76,100,20.51,overcast clouds
70,Tutoia,BR,-2.7619,-42.2744,78.06,79,26,8.95,scattered clouds
71,Dhidhdhoo,MV,6.8833,73.1,81.66,73,68,6.46,broken clouds
72,Upata,VE,8.0086,-62.3989,70.16,96,100,3.42,overcast clouds
73,Mahebourg,MU,-20.4081,57.7,77.25,56,7,4.56,clear sky
74,Chokurdakh,RU,70.6333,147.9167,-20.18,99,90,5.41,overcast clouds
75,Hamilton,US,39.1834,-84.5333,31.87,74,100,13.8,overcast clouds
76,Lubyany,RU,56.0378,51.4,18.01,94,98,6.4,overcast clouds
77,Esperance,AU,-33.8667,121.9,65.12,73,25,22.57,scattered clouds
78,Boma,GH,7.0805,-2.1697,64.81,73,9,1.03,clear sky
79,Havre-Saint-Pierre,CA,50.2334,-63.5986,25.61,93,100,17.76,snow
80,Olinda,BR,-8.0089,-34.8553,76.73,78,75,6.91,broken clouds
81,Antofagasta,CL,-23.65,-70.4,61.88,87,38,2.01,scattered clouds
82,Faya,SA,18.3851,42.4509,50.52,51,4,1.86,clear sky
83,Jamestown,US,42.097,-79.2353,33.39,65,100,14.97,overcast clouds
84,Nikolskoye,RU,59.7035,30.7861,33.78,97,98,6.82,light snow
85,Russellville,US,35.2784,-93.1338,35.74,57,0,6.91,clear sky
86,Nishihara,JP,26.1842,127.7558,78.08,69,75,12.66,broken clouds
87,Kodiak,US,57.79,-152.4072,44.11,93,100,20.71,overcast clouds
88,Pisco,PE,-13.7,-76.2167,62.65,82,0,9.22,clear sky
89,Yar-Sale,RU,66.8333,70.8333,3.16,93,93,8.79,overcast clouds
90,Kyren,RU,51.6828,102.1408,30.02,61,38,1.23,scattered clouds
91,Hilo,US,19.7297,-155.09,74.12,95,100,6.91,heavy intensity rain
92,Qaanaaq,GL,77.484,-69.3632,-6.9,83,100,5.39,overcast clouds
93,Sault Sainte Marie,CA,46.5168,-84.3333,23.56,68,100,6.91,overcast clouds
94,Barrow,US,71.2906,-156.7887,24.82,80,0,18.41,clear sky
95,Matagami,CA,49.7502,-77.6328,14.11,92,100,5.75,overcast clouds
96,Saint-Philippe,RE,-21.3585,55.7679,74.79,67,22,5.55,few clouds
97,Jian,CN,27.1172,114.9793,66.74,70,97,5.08,overcast clouds
98,Onega,RU,63.9061,38.1404,25.72,93,13,4.97,few clouds
99,Upernavik,GL,72.7868,-56.1549,10.38,94,99,13.96,overcast clouds
100,Severo-Kurilsk,RU,50.6789,156.125,35.1,64,97,6.49,overcast clouds
101,Naze,JP,28.3667,129.4833,67.12,72,100,13.38,light rain
102,Airai,TL,-8.9266,125.4092,77.13,50,81,2.98,broken clouds
103,Shimoda,JP,34.6667,138.95,60.1,55,99,7.14,overcast clouds
104,Jalu,LY,29.0331,21.5482,60.22,40,0,10.6,clear sky
105,Riberalta,BO,-10.9833,-66.1,73.29,91,83,2.46,broken clouds
106,Dharchula,IN,29.85,80.5333,63.09,27,0,3.4,clear sky
107,Muncar,ID,-8.4333,114.3333,86.25,67,96,4.61,overcast clouds
108,Port Shepstone,ZA,-30.7414,30.455,69.58,81,98,5.12,overcast clouds
109,Georgetown,MY,5.4112,100.3354,84.13,84,40,5.75,scattered clouds
110,Bluff,NZ,-46.6,168.3333,58.8,90,99,14.32,overcast clouds
111,Praya,CV,14.9215,-23.5087,73.94,83,20,9.22,few clouds
112,Berberati,CF,4.2612,15.7922,65.73,79,28,0.11,scattered clouds
113,Yarim,YE,14.298,44.3779,50.83,42,6,5.03,clear sky
114,Beitbridge,ZW,-22.2167,30.0,79.29,38,0,3.65,clear sky
115,Kapaa,US,22.0752,-159.319,78.78,76,20,13.8,few clouds
116,Matara,LK,5.9485,80.5353,83.89,69,82,3.49,broken clouds
117,Talnakh,RU,69.4865,88.3972,-25.8,97,69,2.62,broken clouds
118,Lorengau,PG,-2.0226,147.2712,85.3,58,100,8.68,overcast clouds
119,Palaikastron,GR,35.2,26.25,62.71,76,2,8.03,clear sky
120,Carnarvon,AU,-24.8667,113.6333,69.67,51,67,18.72,broken clouds
121,Provideniya,RU,64.3833,-173.3,35.71,87,100,15.66,light intensity shower rain
122,Anadyr,RU,64.75,177.4833,30.7,93,40,4.47,scattered clouds
123,Tansen,NP,27.8673,83.5467,61.52,60,9,3.36,clear sky
124,Inhambane,MZ,-23.865,35.3833,73.38,94,20,0.0,few clouds
125,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,75,71,12.88,broken clouds
126,Novobirilyussy,RU,56.9514,90.6661,26.42,83,100,11.74,overcast clouds
127,Kawalu,ID,-7.3817,108.2082,84.25,70,66,1.68,broken clouds
128,Castro,BR,-24.7911,-50.0119,53.91,83,0,6.78,clear sky
129,Chicama,PE,-7.8447,-79.1469,59.54,82,99,6.29,overcast clouds
130,Martapura,ID,-3.4167,114.85,89.69,62,40,4.61,scattered clouds
131,Klaksvik,FO,62.2266,-6.589,50.92,90,94,35.23,overcast clouds
132,Santa Rosalia,MX,27.3167,-112.2833,61.79,54,0,7.83,clear sky
133,Clyde River,CA,70.4692,-68.5914,-5.4,93,99,9.93,overcast clouds
134,Corinto,GR,37.9407,22.9573,65.89,72,98,5.35,overcast clouds
135,Karratha,AU,-20.7377,116.8463,80.37,45,29,19.26,scattered clouds
136,Yerbogachen,RU,61.2767,108.0108,9.45,92,100,2.75,overcast clouds
137,Poronaysk,RU,49.2167,143.1167,30.16,61,11,4.0,few clouds
138,Hasaki,JP,35.7333,140.8333,63.28,59,94,15.39,overcast clouds
139,Chokwe,MZ,-24.5333,32.9833,73.24,68,0,3.85,clear sky
140,Shingu,JP,33.7333,135.9833,63.93,45,80,3.33,broken clouds
141,Chuy,UY,-33.6971,-53.4616,59.68,84,1,4.16,clear sky
142,Ilulissat,GL,69.2167,-51.1,17.62,73,100,6.91,light shower snow
143,Port Lincoln,AU,-34.7333,135.8667,63.45,61,1,16.24,clear sky
144,Manoharpur,IN,27.3,75.95,69.22,27,0,3.96,clear sky
145,Katsuura,JP,35.1333,140.3,61.02,67,96,15.82,overcast clouds
146,Okhotsk,RU,59.3833,143.3,-1.32,73,7,16.17,clear sky
147,Nioki,CD,-2.7167,17.6833,69.44,98,100,0.74,overcast clouds
148,Vila Velha,BR,-20.3297,-40.2925,71.55,98,100,2.3,overcast clouds
149,Hailin,CN,44.5833,129.4167,33.93,66,74,2.84,broken clouds
150,Cayenne,GF,4.9333,-52.3333,77.04,94,0,0.0,clear sky
151,Palmer,US,42.1584,-72.3287,39.61,80,20,3.44,few clouds
152,Yellowknife,CA,62.456,-114.3525,5.5,91,100,5.59,overcast clouds
153,New Norfolk,AU,-42.7826,147.0587,60.91,46,100,1.99,overcast clouds
154,Mehamn,NO,71.0357,27.8492,42.75,75,75,14.97,broken clouds
155,Praia Da Vitoria,PT,38.7333,-27.0667,60.51,72,31,17.96,scattered clouds
156,Uelzen,DE,52.9667,10.5667,39.54,83,100,17.72,overcast clouds
157,Kita,ML,13.0349,-9.4895,71.74,24,100,4.12,overcast clouds
158,Banjar,ID,-8.19,114.9675,88.36,64,96,1.7,overcast clouds
159,Holme,DK,56.1138,10.1725,44.17,77,100,27.87,overcast clouds
160,Didwana,IN,27.4,74.5667,70.88,27,0,1.01,clear sky
161,Lavrentiya,RU,65.5833,-171.0,33.35,97,100,12.48,overcast clouds
162,Namibe,AO,-15.1961,12.1522,69.15,77,99,4.74,overcast clouds
163,Doha,QA,25.2867,51.5333,78.78,73,0,3.44,clear sky
164,Javanrud,IR,34.7961,46.5172,45.61,94,99,3.11,light rain
165,Hithadhoo,MV,-0.6,73.0833,81.09,78,73,11.43,broken clouds
166,Batagay-Alyta,RU,67.8006,130.4114,-25.62,92,58,2.19,broken clouds
167,Khani,GE,41.9563,42.9566,38.77,70,89,4.36,overcast clouds
168,Chapais,CA,49.7834,-74.8492,19.99,95,100,4.56,light snow
169,Lagoa,PT,39.05,-27.9833,60.69,68,100,20.4,overcast clouds
170,Teknaf,BD,20.8624,92.3058,80.01,49,0,4.21,clear sky
171,Muros,ES,42.7762,-9.0603,61.09,81,99,17.11,overcast clouds
172,Tumen,CN,42.9661,129.8425,44.94,41,56,1.52,broken clouds
173,Berlevag,NO,70.8578,29.0864,42.8,65,13,17.2,few clouds
174,Yulara,AU,-25.2406,130.9889,86.43,35,23,21.47,few clouds
175,Waipawa,NZ,-41.4122,175.5153,57.87,98,100,1.83,light rain
176,Bandar,ID,2.05,99.75,86.9,58,100,1.32,overcast clouds
177,Victoria,HK,22.2855,114.1577,80.96,81,55,8.01,broken clouds
178,Olafsvik,IS,64.8945,-23.7142,44.11,79,86,19.24,overcast clouds
179,Strezhevoy,RU,60.7333,77.5889,-8.63,91,28,3.94,scattered clouds
180,Henties Bay,NA,-22.116,14.2845,58.77,94,24,3.76,few clouds
181,Geraldton,AU,-28.7667,114.6,66.61,59,75,17.27,broken clouds
182,Taybad,IR,34.74,60.7756,51.1,40,71,5.7,broken clouds
183,Ostrovnoy,RU,68.0531,39.5131,31.17,90,92,13.91,overcast clouds
184,Bengkulu,ID,-3.8004,102.2655,79.34,78,100,7.38,light rain
185,Mairinque,BR,-23.5458,-47.1833,62.11,81,6,8.79,clear sky
186,Saint-Louis,SN,16.3333,-15.0,80.1,43,81,1.5,broken clouds
187,Bilibino,RU,68.0546,166.4372,-9.76,100,93,1.54,overcast clouds
188,Russell,US,32.3502,-85.1999,46.0,52,100,7.74,overcast clouds
189,Riyadh,SA,24.6877,46.7219,64.54,30,92,9.01,overcast clouds
190,Bonthe,SL,7.5264,-12.505,74.95,87,56,3.74,broken clouds
191,Tiksi,RU,71.6872,128.8694,-18.69,99,97,3.51,overcast clouds
192,Stara Vyzhivka,UA,51.4376,24.44,29.7,82,97,15.1,overcast clouds
193,Glogow,PL,51.6636,16.0845,38.64,87,100,13.87,overcast clouds
194,Cururupu,BR,-1.8283,-44.8683,74.95,86,42,4.16,scattered clouds
195,Marivan,IR,35.5219,46.176,47.53,82,90,2.19,light rain
196,Kilindoni,TZ,-7.9139,39.6668,79.74,71,72,8.14,broken clouds
197,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,54,0,4.47,clear sky
198,Ahrensburg,DE,53.6833,10.25,40.48,84,100,18.41,overcast clouds
199,Meulaboh,ID,4.1363,96.1285,81.0,76,100,6.15,overcast clouds
200,Katherine,AU,-14.4667,132.2667,79.12,69,40,23.02,scattered clouds
201,Najran,SA,17.4924,44.1277,57.85,30,10,2.64,clear sky
202,Venado Tuerto,AR,-33.7456,-61.9688,75.76,31,32,9.06,scattered clouds
203,Shamkhal,RU,43.0596,47.3373,51.78,55,100,12.08,overcast clouds
204,Saint George,US,37.1041,-113.5841,45.19,43,0,3.0,clear sky
205,Rivadavia,AR,-33.1905,-68.4608,72.01,62,36,14.03,scattered clouds
206,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,82,98,9.46,overcast clouds
207,Puerto Carreno,CO,6.189,-67.4859,76.55,94,100,4.76,overcast clouds
208,Nabire,ID,-3.3667,135.4833,86.85,65,96,5.08,overcast clouds
209,Sawtell,AU,-30.3833,153.1,71.19,43,5,16.11,clear sky
210,Baghmara,IN,23.795,86.2085,76.77,39,0,4.99,clear sky
211,Turukhansk,RU,65.8167,87.9833,-37.07,100,94,2.77,overcast clouds
212,East London,ZA,-33.0153,27.9116,65.34,94,40,6.91,scattered clouds
213,Osypenko,UA,46.9136,36.8253,49.95,93,98,13.22,overcast clouds
214,Nowy Dwor Gdanski,PL,54.2131,19.1177,33.57,78,8,9.62,clear sky
215,Flinders,AU,-34.5833,150.8552,66.18,56,44,7.0,scattered clouds
216,Ancud,CL,-41.8697,-73.8203,53.73,93,47,6.67,scattered clouds
217,Woodward,US,36.4337,-99.3904,29.32,78,0,9.22,clear sky
218,Trairi,BR,-3.2778,-39.2689,78.08,73,19,10.51,few clouds
219,Fairbanks,US,64.8378,-147.7164,4.08,85,0,0.0,clear sky
220,Poum,NC,-20.2333,164.0167,80.35,75,100,4.07,overcast clouds
221,Cabo San Lucas,MX,22.8909,-109.9124,75.51,67,58,3.02,broken clouds
222,Storforshei,NO,66.4043,14.5233,34.32,30,10,5.1,clear sky
223,Darhan,MN,49.4867,105.9228,33.89,42,1,4.07,clear sky
224,Daru,PG,-9.0763,143.2092,86.07,72,97,8.66,overcast clouds
225,Pevek,RU,69.7008,170.3133,-0.29,98,98,7.07,overcast clouds
